tok,c_br,c_pt,fpm_br,fpm_pt,delta_fpm,abs_delta_fpm
pare,19099,6695,255.005,89.034,-165.971,165.971
estavas,832,13314,11.109,177.056,165.948,165.948
equipa,804,13231,10.735,175.953,165.218,165.218
dá-me,1346,13727,17.971,182.549,164.577,164.577
desculpe,31145,18949,415.84,251.993,-163.846,163.846
aos,26495,38921,353.754,517.591,163.837,163.837
bebê,14056,1936,187.672,25.746,-161.926,161.926
exatamente,16120,4200,215.23,55.854,-159.376,159.376
bebé,881,12817,11.763,170.447,158.684,158.684
tuas,1654,13561,22.084,180.341,158.257,158.257
realmente,31392,19631,419.138,261.063,-158.075,158.075
alguma,62045,74166,828.408,986.297,157.889,157.889
demais,25969,14224,346.731,189.158,-157.573,157.573
posso,121172,109875,1617.856,1461.173,-156.683,156.683
mundo,52869,41364,705.893,550.079,-155.813,155.813
coisa,124221,136359,1658.566,1813.371,154.805,154.805
mal,30584,42332,408.349,562.952,154.603,154.603
acontecendo,13401,1891,178.927,25.147,-153.779,153.779
demasiado,1713,13266,22.872,176.418,153.546,153.546
rapaz,13021,24591,173.853,327.024,153.171,153.171
ok,35521,24155,474.267,321.225,-153.042,153.042
sendo,17239,5861,230.171,77.943,-152.228,152.228
vos,2389,13838,31.897,184.025,152.127,152.127
procurando,13782,2566,184.014,34.124,-149.89,149.89
dar,58440,47406,780.275,630.429,-149.846,149.846
olha,28858,40223,385.304,534.906,149.602,149.602
quiser,23748,12753,317.077,169.596,-147.481,147.481
lembra,14980,3957,200.009,52.622,-147.387,147.387
vossa,4198,15222,56.051,202.43,146.379,146.379
precisas,777,11753,10.374,156.297,145.923,145.923
miúdo,710,11662,9.48,155.087,145.607,145.607
sítio,934,11801,12.471,156.936,144.465,144.465
foi,248434,238643,3317.025,3173.596,-143.429,143.429
disto,8711,19526,116.307,259.667,143.36,143.36
ver,104044,114974,1389.168,1528.983,139.815,139.815
procura,6307,16821,84.209,223.694,139.485,139.485
pegue,13476,3061,179.928,40.707,-139.221,139.221
depois,74927,85668,1000.405,1139.257,138.851,138.851
fora,58543,48439,781.651,644.166,-137.484,137.484
ruim,12156,1947,162.304,25.892,-136.411,136.411
casa,107300,117975,1432.641,1568.891,136.25,136.25
connosco,758,10911,10.121,145.1,134.979,134.979
viste,694,10831,9.266,144.036,134.77,134.77
vosso,2415,12501,32.244,166.245,134.0,134.0
nem,74564,84920,995.559,1129.309,133.75,133.75
pai,80815,91162,1079.02,1212.319,133.298,133.298
deu,24491,14568,326.997,193.733,-133.265,133.265
srta,12857,2917,171.663,38.792,-132.872,132.872
bom,114752,105236,1532.138,1399.482,-132.657,132.657
estar,65608,75633,875.981,1005.806,129.825,129.825
esses,23655,14043,315.835,186.751,-129.084,129.084
outra,49529,59400,661.298,789.931,128.633,128.633
raio,3680,13343,49.134,177.442,128.308,128.308
exactamente,726,10370,9.693,137.906,128.212,128.212
ir,85390,95322,1140.105,1267.64,127.536,127.536
pro,11046,1524,147.483,20.267,-127.216,127.216
vendo,12228,2783,163.265,37.01,-126.255,126.255
aquilo,15167,24696,202.506,328.42,125.914,125.914
gostava,5148,14610,68.735,194.291,125.556,125.556
diz-me,723,10072,9.653,133.943,124.289,124.289
estes,15096,24467,201.558,325.375,123.817,123.817
consegues,589,9873,7.864,131.296,123.432,123.432
